url,https,terminacion,topic,id
https://example.com/link1,False,.io,technology,link_CM3RR2NZRF
https://example.com/link2,False,.io,politics,link_LKG1ZVHNXC
https://example.com/link3,True,.com,sports,link_TG79U71F28
https://example.com/link4,False,.com,politics,link_RDS1L2YSQE
https://example.com/link5,False,.org,technology,link_PXQH1F02AO
https://example.com/link6,True,.org,politics,link_E275J68BOU
https://example.com/link7,False,.io,technology,link_1G995QXMGC
https://example.com/link8,False,.io,sports,link_W5SG9WEV4Z
https://example.com/link9,False,.org,sports,link_8CL4ZLQ4U2
https://example.com/link10,True,.net,entertainment,link_KQ2V7OLCHT
https://example.com/link11,False,.com,entertainment,link_1A9Z08I4JK
https://example.com/link12,True,.org,technology,link_C1GX0JXNEX
https://example.com/link13,False,.io,sports,link_OFWLF8YIIA
https://example.com/link14,True,.net,politics,link_8YKDM1Q2JQ
https://example.com/link15,False,.io,politics,link_FGY5H2TARZ
https://example.com/link16,True,.io,technology,link_GFOL5UFW94
https://example.com/link17,True,.org,sports,link_1B5FPWED06
https://example.com/link18,True,.net,technology,link_T42CS4LUPB
https://example.com/link19,True,.org,sports,link_U1EWTD616E
https://example.com/link20,False,.org,sports,link_Y6WMODC7D2
https://example.com/link21,False,.io,technology,link_MIB4JMIITL
https://example.com/link22,True,.org,politics,link_I468E9QFXJ
https://example.com/link23,False,.io,entertainment,link_EHY5HZYMHV
https://example.com/link24,False,.com,technology,link_WJ7JJ0UZYX
https://example.com/link25,False,.net,technology,link_U1DQ1OYULP
https://example.com/link26,True,.net,sports,link_2HSLQTN6KN
https://example.com/link27,True,.com,sports,link_1YS2KNINU5
https://example.com/link28,False,.org,politics,link_VTCP9LJQ31
https://example.com/link29,True,.org,politics,link_IG36SV6UH2
https://example.com/link30,True,.com,technology,link_EUTU6ARPYS
https://example.com/link31,False,.net,technology,link_C6TS8SN4VO
https://example.com/link32,True,.net,politics,link_5UYW0PN1NH
https://example.com/link33,True,.org,politics,link_GUKO1S9WLP
https://example.com/link34,False,.org,politics,link_CJY1LR442S
https://example.com/link35,True,.com,sports,link_37O42LDSQK
https://example.com/link36,True,.net,sports,link_WSBCXZCGU6
https://example.com/link37,True,.com,politics,link_0I0IKYWQLS
https://example.com/link38,False,.com,technology,link_KPHITFL3Q5
https://example.com/link39,True,.org,technology,link_MRD15TA9Q6
https://example.com/link40,False,.com,sports,link_0WU4CNVGTV
https://example.com/link41,False,.com,technology,link_8ZCRTMXM9H
https://example.com/link42,False,.com,entertainment,link_1APYACD77B
https://example.com/link43,True,.io,entertainment,link_RDE35XKUTF
https://example.com/link44,True,.com,politics,link_71SG74J8VN
https://example.com/link45,False,.org,politics,link_OCM6VV3FK6
https://example.com/link46,False,.com,politics,link_O5N3WGOHJ9
https://example.com/link47,False,.org,sports,link_ZE5W083K8M
https://example.com/link48,True,.org,politics,link_KKJCVUG6EF
https://example.com/link49,False,.io,entertainment,link_DZTZMFZLHO
https://example.com/link50,True,.net,entertainment,link_1CHKDOE574
https://example.com/link51,False,.org,sports,link_X3Y6QR09PZ
https://example.com/link52,False,.io,politics,link_SN9VFQTMDV
https://example.com/link53,True,.org,sports,link_IG57DN1U62
https://example.com/link54,True,.org,sports,link_1H7E087N5V
https://example.com/link55,True,.org,politics,link_QZ7SKZZS4A
https://example.com/link56,True,.io,politics,link_4D729LM6F1
https://example.com/link57,True,.net,politics,link_XST35J50RJ
https://example.com/link58,True,.org,technology,link_C9SC96NL1B
https://example.com/link59,True,.com,sports,link_5VL11VGTO5
https://example.com/link60,False,.com,entertainment,link_SAHBCI0SWY
https://example.com/link61,True,.org,technology,link_TQ2F9LW74U
https://example.com/link62,False,.io,entertainment,link_UOZMQ557J7
https://example.com/link63,True,.com,entertainment,link_TVW4D0FXJ5
https://example.com/link64,True,.com,technology,link_WI6MYY71AX
https://example.com/link65,False,.io,politics,link_NXTK601KL9
https://example.com/link66,False,.io,sports,link_ZR1BSUFT0Y
https://example.com/link67,True,.net,politics,link_618LMXQ8X9
https://example.com/link68,True,.io,politics,link_S4EMXNTMWQ
https://example.com/link69,True,.io,technology,link_NUQEPNUT8D
https://example.com/link70,False,.net,entertainment,link_S8BOE797K4
https://example.com/link71,False,.io,politics,link_19XAL71VSB
https://example.com/link72,True,.com,technology,link_6U0AVHEX63
https://example.com/link73,True,.io,technology,link_TR66GVA6RG
https://example.com/link74,False,.org,technology,link_FFT7NN0WN5
https://example.com/link75,False,.org,technology,link_XF6SZR3NX7
https://example.com/link76,False,.org,technology,link_NZ5XRR8313
https://example.com/link77,True,.io,politics,link_G7P4G49TGI
https://example.com/link78,False,.io,entertainment,link_6M3M6QPTR5
https://example.com/link79,False,.org,politics,link_1SBSM8MX3M
https://example.com/link80,False,.io,sports,link_F6U7LJNCKS
https://example.com/link81,True,.io,technology,link_MI7E4VOMQB
https://example.com/link82,False,.org,entertainment,link_REB8NGN6GJ
https://example.com/link83,True,.net,politics,link_GXQJUP4Z1O
https://example.com/link84,True,.io,sports,link_8D8P7L1R3S
